Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DOLFUT;01/09/2026;12:00:00;5.178,000;5.183,000;5.176,000;5.180,000;3.194.664.875,00;12.335
DOLFUT;01/09/2026;11:30:00;5.182,500;5.182,500;5.173,000;5.177,500;3.116.563.625,00;12.040
DOLFUT;01/09/2026;11:00:00;5.186,000;5.187,000;5.179,000;5.182,500;10.115.211.125,00;39.035
DOLFUT;01/09/2026;10:30:00;5.204,500;5.204,500;5.185,000;5.187,500;6.964.351.250,00;26.810
DOLFUT;01/09/2026;10:00:00;5.218,000;5.218,500;5.204,000;5.205,000;6.521.776.000,00;25.025
DOLFUT;01/09/2026;09:30:00;5.227,500;5.232,500;5.217,500;5.218,000;2.305.499.750,00;8.825
DOLFUT;01/09/2026;09:00:00;5.222,500;5.235,000;5.222,500;5.227,000;3.271.284.375,00;12.515
DOLFUT;31/08/2026;18:00:00;5.220,000;5.220,000;5.217,500;5.219,500;84.807.250,00;325
DOLFUT;31/08/2026;17:30:00;5.219,500;5.222,500;5.219,500;5.219,500;3.324.643.875,00;12.735
DOLFUT;31/08/2026;17:00:00;5.216,500;5.221,000;5.214,500;5.219,000;1.910.955.250,00;7.325
DOLFUT;31/08/2026;16:30:00;5.216,000;5.217,500;5.215,000;5.216,000;1.214.078.125,00;4.655
DOLFUT;31/08/2026;16:00:00;5.219,500;5.219,500;5.216,000;5.216,000;2.965.086.125,00;11.365
DOLFUT;31/08/2026;15:30:00;5.222,500;5.224,000;5.217,500;5.220,000;2.615.244.500,00;10.020
DOLFUT;31/08/2026;15:00:00;5.220,500;5.222,500;5.219,500;5.222,500;1.100.191.500,00;4.215
DOLFUT;31/08/2026;14:30:00;5.221,000;5.223,000;5.218,000;5.220,000;3.067.080.250,00;11.750
DOLFUT;31/08/2026;14:00:00;5.215,000;5.221,000;5.214,000;5.220,500;1.236.611.875,00;4.740
DOLFUT;31/08/2026;13:30:00;5.213,500;5.216,500;5.213,000;5.215,000;864.260.250,00;3.315
DOLFUT;31/08/2026;13:00:00;5.216,500;5.217,000;5.212,000;5.213,500;2.931.715.000,00;11.245
DOLFUT;31/08/2026;12:30:00;5.211,500;5.217,000;5.209,500;5.216,500;1.763.046.500,00;6.765
DOLFUT;31/08/2026;12:00:00;5.216,000;5.218,000;5.211,500;5.212,000;4.179.825.000,00;16.030
DOLFUT;31/08/2026;11:30:00;5.218,500;5.221,000;5.214,500;5.215,500;2.942.391.250,00;11.280
DOLFUT;31/08/2026;11:00:00;5.214,000;5.219,500;5.213,000;5.218,000;5.253.727.500,00;20.145
DOLFUT;31/08/2026;10:30:00;5.202,500;5.213,500;5.196,000;5.213,500;4.569.502.875,00;17.570
DOLFUT;31/08/2026;10:00:00;5.214,500;5.216,500;5.201,500;5.202,500;2.617.340.125,00;10.045
DOLFUT;31/08/2026;09:30:00;5.203,500;5.215,500;5.200,500;5.214,500;4.013.620.500,00;15.415
DOLFUT;31/08/2026;09:00:00;5.222,500;5.222,500;5.199,000;5.204,000;4.935.653.125,00;18.965
DOLFUT;28/08/2026;18:00:00;5.196,000;5.196,500;5.186,500;5.188,500;683.888.000,00;2.635
DOLFUT;28/08/2026;17:30:00;5.197,500;5.198,500;5.195,000;5.197,000;514.480.875,00;1.980
DOLFUT;28/08/2026;17:00:00;5.197,500;5.201,500;5.197,000;5.198,000;740.899.750,00;2.850
DOLFUT;28/08/2026;16:30:00;5.203,000;5.204,000;5.197,000;5.197,000;1.599.501.250,00;6.150
DOLFUT;28/08/2026;16:00:00;5.207,000;5.208,000;5.202,500;5.203,000;4.260.852.375,00;16.370
DOLFUT;28/08/2026;15:30:00;5.214,000;5.214,500;5.206,000;5.207,000;3.023.783.875,00;11.610
DOLFUT;28/08/2026;15:00:00;5.215,500;5.219,000;5.210,500;5.213,000;1.970.082.375,00;7.555
DOLFUT;28/08/2026;14:30:00;5.215,500;5.223,500;5.214,000;5.215,500;2.002.543.000,00;7.675
DOLFUT;28/08/2026;14:00:00;5.217,000;5.219,500;5.215,000;5.216,000;2.427.391.125,00;9.305
DOLFUT;28/08/2026;13:30:00;5.221,500;5.221,500;5.212,500;5.216,500;2.451.856.625,00;9.400
DOLFUT;28/08/2026;13:00:00;5.219,000;5.232,000;5.218,000;5.221,000;5.576.781.250,00;21.345
DOLFUT;28/08/2026;12:30:00;5.210,500;5.219,500;5.209,000;5.219,000;2.675.659.000,00;10.260
DOLFUT;28/08/2026;12:00:00;5.205,000;5.215,500;5.203,500;5.210,000;9.373.850.875,00;35.980
DOLFUT;28/08/2026;11:30:00;5.210,500;5.211,000;5.201,000;5.205,000;6.280.784.250,00;24.130
DOLFUT;28/08/2026;11:00:00;5.188,500;5.214,500;5.177,500;5.211,000;6.990.584.500,00;26.895
DOLFUT;28/08/2026;10:30:00;5.191,000;5.198,000;5.179,500;5.188,500;4.349.472.500,00;16.755
DOLFUT;28/08/2026;10:00:00;5.172,000;5.193,500;5.172,000;5.190,000;6.264.445.375,00;24.175
DOLFUT;28/08/2026;09:30:00;5.164,000;5.173,000;5.162,500;5.171,500;3.917.618.625,00;15.160
DOLFUT;28/08/2026;09:00:00;5.164,000;5.168,500;5.159,500;5.164,500;1.750.764.375,00;6.780
DOLFUT;27/08/2026;18:00:00;5.166,000;5.167,000;5.163,500;5.165,000;467.436.250,00;1.810
DOLFUT;27/08/2026;17:30:00;5.166,500;5.167,000;5.164,000;5.165,000;827.778.500,00;3.205
DOLFUT;27/08/2026;17:00:00;5.168,000;5.168,000;5.164,500;5.166,500;1.481.386.750,00;5.735
DOLFUT;27/08/2026;16:30:00;5.169,000;5.170,000;5.167,500;5.167,500;1.031.227.125,00;3.990
DOLFUT;27/08/2026;16:00:00;5.165,000;5.169,000;5.165,000;5.169,000;1.746.592.500,00;6.760
DOLFUT;27/08/2026;15:30:00;5.168,500;5.168,500;5.164,000;5.165,000;2.163.460.250,00;8.375
DOLFUT;27/08/2026;15:00:00;5.169,000;5.172,500;5.166,000;5.168,500;1.526.262.125,00;5.905
DOLFUT;27/08/2026;14:30:00;5.173,000;5.173,000;5.168,000;5.169,000;1.614.560.250,00;6.245
DOLFUT;27/08/2026;14:00:00;5.174,500;5.176,000;5.173,000;5.173,000;2.402.158.750,00;9.285
DOLFUT;27/08/2026;13:30:00;5.174,500;5.175,500;5.173,000;5.175,500;838.272.500,00;3.240
