Ativo;Data;Hora;Comprador;Preço;Quantidade;Vendedor;Tipo
FRP0;01/09/2026;10:05:28;88 - CM Capital Markets CCTVM LTDA;35,00;30;88 - CM Capital Markets CCTVM LTDA;Direto
FRP0;01/09/2026;10:02:20;88 - CM Capital Markets CCTVM LTDA;33,20;30;88 - CM Capital Markets CCTVM LTDA;Direto
FRP0;01/09/2026;10:01:45;39 - AGORA CTVM S/A;33,60;30;147 - ATIVA INVESTIMENTOS S.A. CTCV;Vendedor
FRP0;01/09/2026;10:01:26;127 - TULLETT PREBON;33,60;280;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;10:00:38;39 - AGORA CTVM S/A;33,50;40;85 - BTG Pactual CTVM S.A.;Vendedor
FRP0;01/09/2026;10:00:38;127 - TULLETT PREBON;33,50;40;85 - BTG Pactual CTVM S.A.;Vendedor
FRP0;01/09/2026;09:59:45;127 - TULLETT PREBON;33,50;20;88 - CM Capital Markets CCTVM LTDA;Vendedor
FRP0;01/09/2026;09:59:12;122 - BGC LIQUIDEZ DTVM;33,60;340;147 - ATIVA INVESTIMENTOS S.A. CTCV;Comprador
FRP0;01/09/2026;09:58:20;122 - BGC LIQUIDEZ DTVM;33,50;100;23 - NECTON INVESTIMENTOS S.A. CVMC;Vendedor
FRP0;01/09/2026;09:58:01;122 - BGC LIQUIDEZ DTVM;33,50;20;127 - TULLETT PREBON;Vendedor
FRP0;01/09/2026;09:57:14;122 - BGC LIQUIDEZ DTVM;33,40;40;39 - AGORA CTVM S/A;Comprador
FRP0;01/09/2026;09:57:10;23 - NECTON INVESTIMENTOS S.A. CVMC;33,40;10;39 - AGORA CTVM S/A;Comprador
FRP0;01/09/2026;09:56:46;85 - BTG Pactual CTVM S.A.;33,40;75;39 - AGORA CTVM S/A;Vendedor
FRP0;01/09/2026;09:56:16;127 - TULLETT PREBON;33,30;35;40 - MORGAN STANLEY CTVM S/A;Vendedor
FRP0;01/09/2026;09:56:05;127 - TULLETT PREBON;33,30;70;39 - AGORA CTVM S/A;Comprador
FRP0;01/09/2026;09:55:40;92 - Elliot-Warren;33,30;75;92 - Elliot-Warren;Vendedor
FRP0;01/09/2026;09:55:14;39 - AGORA CTVM S/A;33,30;55;114 - ITAU CV S/A;Vendedor
FRP0;01/09/2026;09:55:14;85 - BTG Pactual CTVM S.A.;33,30;55;114 - ITAU CV S/A;Vendedor
FRP0;01/09/2026;09:54:28;85 - BTG Pactual CTVM S.A.;33,30;10;88 - CM Capital Markets CCTVM LTDA;Vendedor
FRP0;01/09/2026;09:54:09;85 - BTG Pactual CTVM S.A.;33,30;5;3 - XP Investimentos CCTVM S/A;Vendedor
FRP0;01/09/2026;09:54:03;262 - MIRAE ASSET WEALTH MANAGEMENT;33,40;65;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:52:25;262 - MIRAE ASSET WEALTH MANAGEMENT;33,40;10;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:52:14;85 - BTG Pactual CTVM S.A.;33,30;10;127 - TULLETT PREBON;Vendedor
FRP0;01/09/2026;09:51:57;85 - BTG Pactual CTVM S.A.;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;5;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:57;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:56;40 - MORGAN STANLEY CTVM S/A;33,30;10;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:51:45;88 - CM Capital Markets CCTVM LTDA;33,30;5;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:45;88 - CM Capital Markets CCTVM LTDA;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:45;88 - CM Capital Markets CCTVM LTDA;33,30;15;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:51:45;88 - CM Capital Markets CCTVM LTDA;33,30;15;27 - Santander CCVM S/A;Vendedor
