Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;01/09/2026;12:00:00;5.178,000;5.183,500;5.175,500;5.180,000;6.242.656.390,00;120.531
WDOFUT;01/09/2026;11:30:00;5.182,000;5.182,500;5.172,500;5.178,000;9.141.036.545,00;176.561
WDOFUT;01/09/2026;11:00:00;5.186,500;5.187,000;5.178,500;5.182,500;12.200.725.730,00;235.420
WDOFUT;01/09/2026;10:30:00;5.204,500;5.205,000;5.185,000;5.186,000;14.223.991.295,00;273.827
WDOFUT;01/09/2026;10:00:00;5.218,500;5.219,000;5.203,500;5.205,000;10.608.263.355,00;203.527
WDOFUT;01/09/2026;09:30:00;5.227,000;5.232,500;5.217,500;5.218,500;8.081.649.605,00;154.696
WDOFUT;01/09/2026;09:00:00;5.224,000;5.235,500;5.222,500;5.227,500;11.487.207.275,00;219.714
WDOFUT;31/08/2026;18:00:00;5.220,000;5.221,000;5.216,500;5.218,500;947.937.030,00;18.165
WDOFUT;31/08/2026;17:30:00;5.219,000;5.222,500;5.219,000;5.220,000;1.107.864.935,00;21.220
WDOFUT;31/08/2026;17:00:00;5.216,500;5.221,000;5.214,500;5.219,500;3.546.950.615,00;67.977
WDOFUT;31/08/2026;16:30:00;5.216,500;5.217,500;5.215,000;5.216,500;2.751.344.810,00;52.745
WDOFUT;31/08/2026;16:00:00;5.219,500;5.220,000;5.215,500;5.216,500;3.783.511.220,00;72.508
WDOFUT;31/08/2026;15:30:00;5.223,000;5.224,500;5.217,500;5.219,500;4.491.789.650,00;86.042
WDOFUT;31/08/2026;15:00:00;5.220,500;5.223,000;5.219,000;5.223,000;2.454.198.895,00;47.009
WDOFUT;31/08/2026;14:30:00;5.220,500;5.223,000;5.218,000;5.220,000;4.501.364.465,00;86.227
WDOFUT;31/08/2026;14:00:00;5.215,000;5.221,500;5.214,000;5.221,000;2.744.737.830,00;52.604
WDOFUT;31/08/2026;13:30:00;5.213,500;5.217,000;5.212,500;5.215,000;2.061.749.915,00;39.539
WDOFUT;31/08/2026;13:00:00;5.216,500;5.217,000;5.212,000;5.214,000;2.838.304.525,00;54.432
WDOFUT;31/08/2026;12:30:00;5.211,500;5.217,000;5.210,000;5.216,500;3.496.595.960,00;67.080
WDOFUT;31/08/2026;12:00:00;5.215,500;5.218,000;5.211,000;5.211,500;5.090.405.440,00;97.606
WDOFUT;31/08/2026;11:30:00;5.218,500;5.221,000;5.214,000;5.216,000;7.955.689.805,00;152.488
WDOFUT;31/08/2026;11:00:00;5.214,000;5.219,500;5.212,500;5.218,000;6.952.102.310,00;133.279
WDOFUT;31/08/2026;10:30:00;5.202,500;5.214,000;5.194,500;5.213,500;11.139.650.795,00;214.136
WDOFUT;31/08/2026;10:00:00;5.214,500;5.217,000;5.201,000;5.202,000;8.811.212.275,00;169.120
WDOFUT;31/08/2026;09:30:00;5.203,500;5.215,500;5.200,000;5.214,500;9.093.494.845,00;174.584
WDOFUT;31/08/2026;09:00:00;5.219,500;5.221,000;5.199,000;5.203,500;11.511.060.805,00;221.105
WDOFUT;28/08/2026;18:00:00;5.196,500;5.197,500;5.184,500;5.185,000;1.556.410.450,00;29.982
WDOFUT;28/08/2026;17:30:00;5.198,000;5.199,000;5.195,000;5.197,000;1.698.154.670,00;32.677
WDOFUT;28/08/2026;17:00:00;5.197,500;5.202,000;5.197,000;5.198,500;2.296.857.570,00;44.178
WDOFUT;28/08/2026;16:30:00;5.203,000;5.204,500;5.196,500;5.197,500;4.216.665.965,00;81.079
WDOFUT;28/08/2026;16:00:00;5.207,000;5.208,000;5.203,000;5.203,500;3.988.508.700,00;76.613
WDOFUT;28/08/2026;15:30:00;5.214,000;5.215,000;5.206,000;5.207,000;4.883.552.910,00;93.751
WDOFUT;28/08/2026;15:00:00;5.215,000;5.219,500;5.210,000;5.214,000;4.966.669.270,00;95.237
WDOFUT;28/08/2026;14:30:00;5.216,000;5.224,000;5.213,500;5.215,500;5.086.228.640,00;97.473
WDOFUT;28/08/2026;14:00:00;5.217,000;5.219,500;5.215,000;5.216,000;3.397.856.035,00;65.133
WDOFUT;28/08/2026;13:30:00;5.221,500;5.222,000;5.212,500;5.216,500;6.400.365.480,00;122.677
WDOFUT;28/08/2026;13:00:00;5.219,000;5.232,500;5.217,500;5.221,000;10.097.185.595,00;193.208
WDOFUT;28/08/2026;12:30:00;5.210,500;5.219,500;5.209,000;5.219,500;5.315.271.570,00;101.917
WDOFUT;28/08/2026;12:00:00;5.205,000;5.216,000;5.203,000;5.210,500;9.040.007.385,00;173.511
WDOFUT;28/08/2026;11:30:00;5.210,500;5.211,500;5.200,500;5.205,000;10.912.973.580,00;209.638
WDOFUT;28/08/2026;11:00:00;5.188,500;5.215,000;5.178,000;5.210,500;21.764.079.665,00;418.673
